cpu_thermal,sbs-1-000b,sbs-1-000b/current_now,CROS_USB_PD_CHARGER0/voltage_now,sbs-1-000b/voltage_now,sbs-1-000b/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,cpu2/scaling_cur_freq,cpu3/scaling_cur_freq,
41088,26400,-421000,0,11803000,63,507000,507000,1001000,1001000,
41322,26400,-422000,0,11806000,63,1001000,1001000,702000,702000,
42143,26400,-493000,0,11788000,63,1703000,1703000,2106000,2106000,
44488,26400,-532000,0,11772000,63,1703000,1703000,2106000,2106000,
44605,26400,-527000,0,11778000,63,1703000,1703000,2106000,2106000,
44840,26400,-532000,0,11773000,63,1703000,1703000,2106000,2106000,
45074,26400,-509000,0,11775000,63,1703000,1703000,2106000,2106000,
46716,26400,-545000,0,11773000,63,1703000,1703000,2106000,2106000,
45778,26400,-576000,0,11769000,63,1703000,1703000,2106000,2106000,
46247,26400,-557000,0,11763000,63,1703000,1703000,2106000,2106000,
47537,26400,-601000,0,11753000,63,1703000,1703000,2106000,2106000,
45895,26400,-569000,0,11777000,63,1703000,1703000,2106000,2106000,
44957,26400,-601000,0,11801000,63,1703000,1703000,2106000,2106000,
43785,26400,-414000,0,11804000,63,1703000,1703000,2106000,2106000,
46950,26400,-538000,0,11754000,63,1001000,1001000,2106000,2106000,
41791,26400,-439000,0,11818000,63,507000,507000,507000,507000,
39798,26400,-308000,0,11824000,63,1703000,1703000,2106000,2106000,
39095,26400,-308000,0,11825000,63,507000,507000,702000,702000,
38391,26400,-308000,0,11826000,63,1703000,1703000,2106000,2106000,
42495,26400,-457000,0,11804000,63,1703000,1703000,2106000,2106000,
44723,26400,-525000,0,11768000,63,1703000,1703000,2106000,2106000,
46012,26400,-592000,0,11762000,63,1703000,1703000,2106000,2106000,
45661,26400,-555000,0,11773000,63,1703000,1703000,2106000,2106000,
46950,26400,-601000,0,11779000,63,1703000,1703000,2106000,2106000,
46012,26400,-543000,0,11783000,63,1703000,1703000,2106000,2106000,
45778,26400,-538000,0,11775000,63,1703000,1703000,2106000,2106000,
46364,26400,-561000,0,11778000,63,1703000,1703000,2106000,2106000,
48006,26400,-560000,0,11756000,63,1703000,1703000,2106000,2106000,
46247,26400,-542000,0,11777000,63,1703000,1703000,2106000,2106000,
47771,26400,-585000,0,11760000,63,1703000,1703000,2106000,2106000,
47185,26400,-550000,0,11768000,63,1703000,1703000,2106000,2106000,
47068,26400,-556000,0,11773000,63,1703000,1703000,2106000,2106000,
46599,26400,-526000,0,11770000,63,1703000,1703000,2106000,2106000,
46364,26400,-548000,0,11758000,63,1001000,1001000,1612000,1612000,
46599,26500,-537000,0,11773000,63,1703000,1703000,2106000,2106000,
45778,26500,-523000,0,11785000,63,1703000,1703000,2106000,2106000,
46364,26500,-533000,0,11779000,63,1703000,1703000,2106000,2106000,
45309,26500,-513000,0,11788000,63,1703000,1703000,2106000,2106000,
46716,26500,-527000,0,11769000,63,1703000,1703000,2106000,2106000,
47068,26500,-547000,0,11769000,63,1703000,1703000,2106000,2106000,
46364,26500,-512000,0,11782000,63,1703000,1703000,2106000,2106000,
46716,26500,-526000,0,11768000,63,1703000,1703000,2106000,2106000,
46481,26500,-549000,0,11774000,63,1703000,1703000,2106000,2106000,
47185,26500,-499000,0,11767000,63,1703000,1703000,2106000,2106000,
45426,26500,-476000,0,11778000,63,1703000,1703000,2106000,2106000,
46130,26500,-541000,0,11782000,63,1703000,1703000,2106000,2106000,
